sujeto,movimiento,tipo_artefacto_sospechado,eventos,canales_afectados,bandas_afectadas,z_max_abs,salto_max_abs
cano,push,posible_muscular_beta_gamma,219,6,3,11.3353,39.121
cano,push,posible_no_fisiologico_salto_o_pico,107,12,5,410.3847,724.8484
cano,push,posible_ocular_frontal_banda_baja,89,6,2,104.4837,303.4841
cano,push,outlier_estadistico_extremo,48,12,5,35.6723,4.4834
cano,right,posible_no_fisiologico_salto_o_pico,2497,12,5,3375.4668,4949.8637
cano,right,posible_muscular_beta_gamma,1417,6,3,487.294,532.3856
cano,right,posible_ocular_frontal_banda_baja,961,6,2,1592.5902,2238.1346
cano,right,salto_brusco_estadistico,581,14,5,4.4908,137.2323
cano,right,outlier_estadistico_extremo,404,12,5,549.3894,4.483
villanueva,all,salto_brusco_estadistico,2210,14,5,4.492,58.4623
villanueva,all,posible_muscular_beta_gamma,1431,6,3,18.3432,44.1031
villanueva,all,posible_no_fisiologico_salto_o_pico,965,12,5,45.6585,99.2824
villanueva,all,outlier_estadistico_extremo,750,12,5,40.3763,4.4905
villanueva,all,posible_ocular_frontal_banda_baja,531,6,2,26.1397,53.7199
villanueva,left,salto_brusco_estadistico,81,13,5,4.4472,29.0035
villanueva,left,posible_muscular_beta_gamma,28,6,3,8.1474,16.5512
villanueva,left,outlier_estadistico_extremo,11,5,3,22.4249,3.5471
villanueva,left,posible_ocular_frontal_banda_baja,5,3,2,5.398,3.9982
villanueva,left,posible_no_fisiologico_salto_o_pico,3,3,3,25.1405,21.7625
villanueva,pull,salto_brusco_estadistico,1169,14,5,4.4848,51.414
villanueva,pull,posible_muscular_beta_gamma,758,6,3,18.6237,32.6008
villanueva,pull,posible_no_fisiologico_salto_o_pico,499,12,5,50.1817,78.123
villanueva,pull,outlier_estadistico_extremo,401,12,5,42.6821,4.4967
villanueva,pull,posible_ocular_frontal_banda_baja,284,6,2,27.6341,36.7361
villanueva,push,salto_brusco_estadistico,607,14,5,4.4967,34.1555
villanueva,push,posible_muscular_beta_gamma,388,6,3,20.5283,59.7399
villanueva,push,posible_no_fisiologico_salto_o_pico,356,12,5,43.4614,140.9553
villanueva,push,outlier_estadistico_extremo,200,12,5,44.2057,4.4967
villanueva,push,posible_ocular_frontal_banda_baja,194,6,2,34.6229,75.1253
villanueva,right,salto_brusco_estadistico,222,14,5,4.3251,62.9132
villanueva,right,outlier_estadistico_extremo,134,12,5,14.5668,4.4967
villanueva,right,posible_muscular_beta_gamma,124,6,3,11.946,28.5179
villanueva,right,posible_no_fisiologico_salto_o_pico,71,12,5,16.2113,60.784
villanueva,right,posible_ocular_frontal_banda_baja,44,5,2,13.6637,21.3755
