sujeto,movimiento,variante_limpieza,estrategia_balanceo,modelo,clase,recall,precision,soporte,minoritaria
211260561,all,sinArtefactosEstricto,sin_balanceo,RBFNetwork_aprox,pull,0.1562,0.5,32,True
211260561,all,sinArtefactosEstricto,sin_balanceo,RBFNetwork_aprox,push,0.7857,0.66,84,False
211260561,all,sinArtefactosEstricto,sin_balanceo,RBFNetwork_aprox,right,0.3966,0.697,58,False
211260561,all,sinArtefactosEstricto,random_oversampling,SMO_SVM,left,0.8167,0.7717,120,False
211260561,all,sinArtefactosEstricto,random_oversampling,SMO_SVM,pull,0.5625,0.4615,32,True
211260561,all,sinArtefactosEstricto,random_oversampling,SMO_SVM,push,0.6667,0.6829,84,False
211260561,all,sinArtefactosEstricto,random_oversampling,SMO_SVM,right,0.5345,0.6739,58,False
211260561,all,sinArtefactosEstricto,random_oversampling,RandomForest,left,0.8083,0.669,120,False
211260561,all,sinArtefactosEstricto,random_oversampling,RandomForest,pull,0.5,0.5926,32,True
211260561,all,sinArtefactosEstricto,random_oversampling,RandomForest,push,0.6786,0.6552,84,False
211260561,all,sinArtefactosEstricto,random_oversampling,RandomForest,right,0.3793,0.6286,58,False
211260561,all,sinArtefactosEstricto,random_oversampling,MLP,left,0.7917,0.7724,120,False
211260561,all,sinArtefactosEstricto,random_oversampling,MLP,pull,0.5938,0.5588,32,True
211260561,all,sinArtefactosEstricto,random_oversampling,MLP,push,0.6905,0.6374,84,False
211260561,all,sinArtefactosEstricto,random_oversampling,MLP,right,0.5172,0.6522,58,False
211260561,all,sinArtefactosEstricto,random_oversampling,IBk_kNN,left,0.825,0.7857,120,False
211260561,all,sinArtefactosEstricto,random_oversampling,IBk_kNN,pull,0.5938,0.7917,32,True
211260561,all,sinArtefactosEstricto,random_oversampling,IBk_kNN,push,0.7619,0.6737,84,False
211260561,all,sinArtefactosEstricto,random_oversampling,IBk_kNN,right,0.3621,0.4286,58,False
211260561,all,sinArtefactosEstricto,random_oversampling,RBFNetwork_aprox,left,0.8167,0.7101,120,False
211260561,all,sinArtefactosEstricto,random_oversampling,RBFNetwork_aprox,pull,0.4375,0.5833,32,True
211260561,all,sinArtefactosEstricto,random_oversampling,RBFNetwork_aprox,push,0.7619,0.6667,84,False
211260561,all,sinArtefactosEstricto,random_oversampling,RBFNetwork_aprox,right,0.431,0.6944,58,False
211260561,all,sinArtefactosEstricto,class_weight_balanced,SMO_SVM,left,0.8167,0.7903,120,False
211260561,all,sinArtefactosEstricto,class_weight_balanced,SMO_SVM,pull,0.5938,0.4634,32,True
211260561,all,sinArtefactosEstricto,class_weight_balanced,SMO_SVM,push,0.6667,0.6667,84,False
211260561,all,sinArtefactosEstricto,class_weight_balanced,SMO_SVM,right,0.5345,0.6889,58,False
211260561,all,sinArtefactosEstricto,class_weight_balanced,RandomForest,left,0.8083,0.6599,120,False
211260561,all,sinArtefactosEstricto,class_weight_balanced,RandomForest,pull,0.4062,0.7222,32,True
211260561,all,sinArtefactosEstricto,class_weight_balanced,RandomForest,push,0.7857,0.7021,84,False
211260561,all,sinArtefactosEstricto,class_weight_balanced,RandomForest,right,0.3621,0.6,58,False
211260561,all,sinArtefactosEstricto,class_weight_balanced,RBFNetwork_aprox,left,0.8083,0.7132,120,False
211260561,all,sinArtefactosEstricto,class_weight_balanced,RBFNetwork_aprox,pull,0.4375,0.6087,32,True
211260561,all,sinArtefactosEstricto,class_weight_balanced,RBFNetwork_aprox,push,0.75,0.6495,84,False
211260561,all,sinArtefactosEstricto,class_weight_balanced,RBFNetwork_aprox,right,0.4138,0.6316,58,False
211260561,all,sinArtefactosEstricto,smote,SMO_SVM,left,0.8167,0.7656,120,False
211260561,all,sinArtefactosEstricto,smote,SMO_SVM,pull,0.5625,0.4615,32,True
211260561,all,sinArtefactosEstricto,smote,SMO_SVM,push,0.6667,0.6829,84,False
211260561,all,sinArtefactosEstricto,smote,SMO_SVM,right,0.5345,0.6889,58,False
211260561,all,sinArtefactosEstricto,smote,RandomForest,left,0.7417,0.6642,120,False
